example_id,class_str,pred_class_str,example_type,orig_row_idx,numark,pixel_id,NBR_1997_1998,NBR_1999_2000,NBR_2001_2002,NBR_2003_2004,NBR_2005_2006,NBR_2007_2008,NBR_2009_2010,NBR_2011_2012,NBR_2013_2014,NBR_2015_2016,NDMI_1997_1998,NDMI_1999_2000,NDMI_2001_2002,NDMI_2003_2004,NDMI_2005_2006,NDMI_2007_2008,NDMI_2009_2010,NDMI_2011_2012,NDMI_2013_2014,NDMI_2015_2016,NDVI_1997_1998,NDVI_1999_2000,NDVI_2001_2002,NDVI_2003_2004,NDVI_2005_2006,NDVI_2007_2008,NDVI_2009_2010,NDVI_2011_2012,NDVI_2013_2014,NDVI_2015_2016,NIR_1997_1998,NIR_1999_2000,NIR_2001_2002,NIR_2003_2004,NIR_2005_2006,NIR_2007_2008,NIR_2009_2010,NIR_2011_2012,NIR_2013_2014,NIR_2015_2016,SWIR1_1997_1998,SWIR1_1999_2000,SWIR1_2001_2002,SWIR1_2003_2004,SWIR1_2005_2006,SWIR1_2007_2008,SWIR1_2009_2010,SWIR1_2011_2012,SWIR1_2013_2014,SWIR1_2015_2016,SWIR2_1997_1998,SWIR2_1999_2000,SWIR2_2001_2002,SWIR2_2003_2004,SWIR2_2005_2006,SWIR2_2007_2008,SWIR2_2009_2010,SWIR2_2011_2012,SWIR2_2013_2014,SWIR2_2015_2016,prob_true,prob_pred,prob_shrubs_to_trees,prob_stable_shrubs,prob_stable_trees,prob_stable_wetland,prob_wetland_to_woody
shrubs_to_trees_correct_highconf_0,shrubs_to_trees,shrubs_to_trees,correct_highconf,34687,BI66,187000002486,-1.022169,-0.21051261,-0.07231331,0.5394147,0.67084056,0.76718074,0.80433667,0.8823005,0.8611459,1.3399625,-1.161185,-0.13558553,-0.14738332,0.40567803,0.73676974,0.9751964,0.96719855,1.3406827,1.0248516,1.3095753,-0.9741251,0.23889738,0.06167015,0.472571,0.9115995,0.44286507,0.7603166,0.7983604,0.65479785,1.0963812,-1.1269349,-0.37264612,-0.2746701,-0.07906922,0.15857598,-0.25896427,0.23157524,0.2642227,0.14647633,0.48668852,0.20892178,-0.05917181,-0.0987806,-0.47146356,-0.58255374,-0.73216546,-0.6208594,-0.5098799,-0.7515078,-0.84580815,-0.028756687,-0.045136824,-0.19612883,-0.52791107,-0.6578025,-0.9693813,-0.8688886,-0.6615978,-1.0425041,-1.080457,0.9957504,0.9957504,0.9957504,0.0013679242,0.0012391645,5.193745e-05,0.0015904885
shrubs_to_trees_correct_highconf_1,shrubs_to_trees,shrubs_to_trees,correct_highconf,18151,BI66,187000002486,-1.022169,-0.21051261,-0.07231331,0.5394147,0.67084056,0.76718074,0.80433667,0.8823005,0.8611459,1.3399625,-1.161185,-0.13558553,-0.14738332,0.40567803,0.73676974,0.9751964,0.96719855,1.3406827,1.0248516,1.3095753,-0.9741251,0.23889738,0.06167015,0.472571,0.9115995,0.44286507,0.7603166,0.7983604,0.65479785,1.0963812,-1.1269349,-0.37264612,-0.2746701,-0.07906922,0.15857598,-0.25896427,0.23157524,0.2642227,0.14647633,0.48668852,0.20892178,-0.05917181,-0.0987806,-0.47146356,-0.58255374,-0.73216546,-0.6208594,-0.5098799,-0.7515078,-0.84580815,-0.028756687,-0.045136824,-0.19612883,-0.52791107,-0.6578025,-0.9693813,-0.8688886,-0.6615978,-1.0425041,-1.080457,0.9957504,0.9957504,0.9957504,0.0013679242,0.0012391645,5.193745e-05,0.0015904885
shrubs_to_trees_correct_highconf_2,shrubs_to_trees,shrubs_to_trees,correct_highconf,85262,GP95,245000003067,-0.27470943,0.51963186,0.813965,0.74102056,0.4965312,0.53458667,-0.40541616,-0.09298468,0.2560362,0.66054386,-0.60279834,0.22228517,0.65671086,0.59807485,0.53019637,0.3541395,-0.39937568,0.18753645,0.14780091,0.7850267,-0.4188762,0.20020118,0.50372136,0.5765787,0.31838787,0.23015624,-0.22179155,0.08735513,0.24402943,0.3930804,-0.45488155,-0.21405017,0.17934346,0.12887713,0.16394125,-0.25051135,-0.6293727,-0.3497495,-0.27351978,-0.21245432,-0.022637,-0.15351258,-0.4015244,-0.37623167,-0.48543006,-0.37187496,-0.40855286,-0.1952717,-0.5031083,-0.7782244,-0.114645496,-0.30756587,-0.4966857,-0.60414904,-0.71447563,-0.72039825,-0.62296385,-0.3334077,-0.6529978,-0.8468438,0.9917864,0.9917864,0.9917864,0.0027304315,0.005137259,3.2707808e-06,0.00034261183
shrubs_to_trees_correct_highconf_3,shrubs_to_trees,shrubs_to_trees,correct_highconf,4402,GP95,244000003067,-0.27470943,0.51963186,0.813965,0.74102056,0.4965312,0.53458667,-0.40541616,-0.09298468,0.2560362,0.66054386,-0.60279834,0.22228517,0.65671086,0.59807485,0.53019637,0.3541395,-0.39937568,0.18753645,0.14780091,0.7850267,-0.4188762,0.20020118,0.50372136,0.5765787,0.31838787,0.23015624,-0.22179155,0.08735513,0.24402943,0.3930804,-0.45488155,-0.21405017,0.17934346,0.12887713,0.16394125,-0.25051135,-0.6293727,-0.3497495,-0.27351978,-0.21245432,-0.022637,-0.15351258,-0.4015244,-0.37623167,-0.48543006,-0.37187496,-0.40855286,-0.1952717,-0.5031083,-0.7782244,-0.114645496,-0.30756587,-0.4966857,-0.60414904,-0.71447563,-0.72039825,-0.62296385,-0.3334077,-0.6529978,-0.8468438,0.9917864,0.9917864,0.9917864,0.0027304315,0.005137259,3.2707808e-06,0.00034261183
shrubs_to_trees_correct_highconf_4,shrubs_to_trees,shrubs_to_trees,correct_highconf,124987,T70,224000002317,-0.24521199,0.3046806,1.183614,1.1104163,1.0141275,1.3360803,0.45885712,1.4132165,1.3447751,1.6953037,-0.8061921,0.17598984,1.1250825,1.2392385,0.92729723,1.5184649,0.16792502,1.5048149,1.2204535,1.7072684,0.27625826,0.72223246,1.1206355,1.2464472,1.1995263,1.1666126,0.5118812,1.314195,1.0730373,1.6042513,-0.022156568,0.46727994,0.75916266,0.5100317,0.36012328,0.579876,0.060029946,0.7641752,0.7227159,0.72579145,0.59810793,0.36378932,0.043529123,-0.49685875,-0.57280654,-0.53550994,-0.35027263,-0.26539752,-0.47337562,-0.6934483,0.75074935,0.12625688,-0.384822,-0.7261297,-0.9128316,-0.82680124,-0.6144301,-0.7335089,-0.7577269,-0.99578494,0.9901265,0.9901265,0.9901265,0.0022441354,0.006759794,9.090139e-05,0.0007786952
shrubs_to_trees_correct_highconf_5,shrubs_to_trees,shrubs_to_trees,correct_highconf,81649,T70,224000002317,-0.24521199,0.31569755,1.17093,1.0394793,0.99214184,1.3141308,0.52122855,1.4305284,1.5518174,1.8326634,-0.74908096,0.1534118,1.1308093,1.0351429,0.9279458,1.4850764,-0.013437384,1.640245,1.3801925,1.8194768,0.27625826,0.5482051,1.2440561,1.0832154,1.0383177,1.1439009,0.6394769,0.9952169,1.2874929,1.6755743,-0.08839492,0.26246738,0.8137155,0.36239463,0.3227997,0.60768163,0.03184175,0.7641752,0.7861439,0.94820136,0.6762241,0.28359967,-0.10113005,-0.49685875,-0.60622543,-0.53404236,-0.32605228,-0.31368086,-0.36460674,-0.6128221,0.5750677,0.037469324,-0.46349537,-0.73316705,-0.9018834,-0.854466,-0.5275419,-0.69984835,-0.8244379,-0.95701945,0.9879417,0.9879417,0.9879417,0.0022255722,0.0090333605,4.6349305e-05,0.00075303594
shrubs_to_trees_correct_highconf_6,shrubs_to_trees,shrubs_to_trees,correct_highconf,120551,T70,223000002318,-0.33911902,0.4049719,1.0761763,1.0161623,1.1410861,1.3827401,0.6879079,1.4824507,1.5834439,1.8690923,-0.9384665,0.17583157,1.1314046,1.1734405,0.95104504,1.4594811,0.264593,1.3308432,1.6925455,1.8584564,0.04052958,0.7571581,1.1001571,1.1799358,1.1672796,1.2446723,0.69281155,1.2767415,1.2463143,1.6633861,-0.21458621,0.40452266,0.6304624,0.44972244,0.42310682,0.6819783,0.26942796,0.97767526,0.88385725,0.9113785,0.6825013,0.36441827,-0.07327225,-0.44321144,-0.5331216,-0.46763444,-0.36541036,-0.289156,-0.3792849,-0.6608421,0.6921888,0.06669055,-0.4548905,-0.78946584,-0.8909352,-0.7083392,-0.62761855,-0.6309973,-0.844523,-0.982523,0.98599595,0.98599595,0.98599595,0.0027276648,0.009737516,0.00011133654,0.0014276841
shrubs_to_trees_correct_highconf_7,shrubs_to_trees,shrubs_to_trees,correct_highconf,67971,BI66,189000002485,-1.6726139,-0.66489154,-0.79439837,0.19144711,0.45197862,0.7760346,0.5322509,0.43808147,0.32726133,0.9478609,-1.3104554,-0.7795372,-0.78795856,-0.12169136,0.33434978,0.7880479,0.9395998,1.0210856,0.44109675,1.0485183,-0.87099314,-0.26150462,-0.6336989,0.080370985,0.45040986,0.72869116,0.4031335,0.43589646,0.25586763,0.7748154,-1.03072,-0.5978913,-0.64518434,-0.3014898,-0.07796217,-0.005821804,-0.04950132,0.081076875,-0.21523462,0.029103462,0.37770858,0.18265504,0.022384046,-0.135295,-0.3910913,-0.79160243,-0.5879348,-0.4278748,-0.57085365,-0.81557333,0.4761654,0.30888954,0.07000846,-0.25755963,-0.43883815,-0.8175796,-0.61986065,-0.5208356,-0.7319033,-0.9906842,0.98503727,0.98503727,0.98503727,0.0069109374,0.0006143904,0.00027147477,0.007165936
shrubs_to_trees_correct_highconf_8,shrubs_to_trees,shrubs_to_trees,correct_highconf,57559,BI66,188000002485,-1.6726139,-0.66489154,-0.79439837,0.19144711,0.45197862,0.7760346,0.5322509,0.43808147,0.32726133,0.9478609,-1.3104554,-0.7795372,-0.78795856,-0.12169136,0.33434978,0.7880479,0.9395998,1.0210856,0.44109675,1.0485183,-0.87099314,-0.26150462,-0.6336989,0.080370985,0.45040986,0.72869116,0.4031335,0.43589646,0.25586763,0.7748154,-1.03072,-0.5978913,-0.64518434,-0.3014898,-0.07796217,-0.005821804,-0.04950132,0.081076875,-0.21523462,0.029103462,0.37770858,0.18265504,0.022384046,-0.135295,-0.3910913,-0.79160243,-0.5879348,-0.4278748,-0.57085365,-0.81557333,0.4761654,0.30888954,0.07000846,-0.25755963,-0.43883815,-0.8175796,-0.61986065,-0.5208356,-0.7319033,-0.9906842,0.98503727,0.98503727,0.98503727,0.0069109374,0.0006143904,0.00027147477,0.007165936
shrubs_to_trees_correct_highconf_9,shrubs_to_trees,shrubs_to_trees,correct_highconf,2779,T70,223000002318,-0.24521199,0.36258453,0.9741017,1.2079759,1.2065394,1.3501062,0.6812501,1.6116316,1.6432614,1.840169,-0.6058042,0.30251995,1.1978539,1.0509465,1.0872893,1.4016277,0.39403483,1.6396028,1.5762975,1.8380442,0.27625826,0.6975941,1.033092,1.1360232,1.107834,1.1070687,0.7892372,1.4909989,1.2799172,1.5982597,-0.12804122,0.37971163,0.5469631,0.33778843,0.5327448,0.5571866,0.104057215,1.0054787,0.8853266,0.80238295,0.48442093,0.20089425,-0.22128779,-0.5381259,-0.5731547,-0.58430696,-0.33437803,-0.2983528,-0.5023556,-0.72309035,0.5750677,-0.047946557,-0.5243443,-0.97830135,-0.8960873,-0.8502099,-0.5872776,-0.69984835,-0.9040608,-1.0202684,0.98434365,0.98434365,0.98434365,0.0016456787,0.01336257,3.9206116e-05,0.00060888374
